,Name,Scopus ID,Coauthors
50,Sarah Kraeutner,56289658200,{'Lara Boyd': 1}
51,Charles Krieger,7004476406,"{'Neil Cashman': 1, 'Ian Mackenzie': 1, 'Robin Hsiung': 1, 'Shernaz Bamji': 1, 'Steven Pelech': 1, 'Wolfram Tetzlaff': 1, 'Lynn Raymond': 1, 'Joel Oger': 1}"
52,Ujendra Kumar,7102636323,"{'Christopher West': 1, 'Joel Oger': 1}"
53,Raymond Lam,21742966400,"{'Sophia Frangou': 1, 'Fidel Vila-Rodriguez': 1, 'Lakshmi Yatham': 1, 'Trisha Chakrabarty': 1, 'Erin Michalak': 1, 'Vesna Sossi': 1, 'Kamyar Keramatian': 1, 'Daniel Vigo': 1, 'Donna Lang': 1, 'Jon Stoessl': 1, 'Heather Robertson': 1}"
54,Donna Lang,7202377295,"{'Alasdair Barr': 1, 'William Panenka': 1, 'Fidel Vila-Rodriguez': 1, 'Alexander Rauscher': 1, 'Thalia Field': 1, 'Clare Beasley': 1, 'Cornelia Laule': 1, 'Lara Boyd': 1, 'Shannon Kolind': 1, 'John Kramer': 1, 'Evelyn Stewart': 1, 'Todd Woodward': 1, 'Kamyar Keramatian': 1, 'Raymond Lam': 1, 'Lakshmi Yatham': 1, 'Robin Hsiung': 1, 'David Li': 1, 'Jehannine Austin': 1}"
55,Cornelia Laule,6505982349,"{'Piotr Kozlowski': 1, 'Teresa Liu-Ambrose': 1, 'Roger Tam': 1, 'Shannon Kolind': 1, 'Vesna Sossi': 1, 'John Kramer': 1, 'Cheryl Wellington': 1, 'Jacqueline Quandt': 1, 'Lara Boyd': 1, 'Carles Vilarino-Guell': 1, 'Alexander Rauscher': 1, 'Robin Hsiung': 1, 'Donna Lang': 1, 'Fidel Vila-Rodriguez': 1, 'Neil Cashman': 1, 'Helen Tremlett': 1, 'Blair Leavitt': 1, 'David Li': 1, 'Joel Oger': 1, 'Tony Traboulsee': 1}"
56,Blair Leavitt,7005869634,"{'Piotr Kozlowski': 1, 'Neil Cashman': 1, 'Mahmoud Pouladi': 1, 'Lara Boyd': 1, 'Lynn Raymond': 1, 'Cornelia Laule': 1, 'Max Cynader': 1, 'Brian MacVicar': 1, 'Ian Mackenzie': 1, 'Paul Pavlidis': 1, 'Daniel Goldowitz': 1, 'Wolfram Tetzlaff': 1, 'Cheryl Wellington': 1, 'Alasdair Barr': 1, 'Tim Murphy': 1, 'Anthony Phillips': 1}"
57,Duncan Leitch,26653630000,{}
58,David Li,7405320868,"{'Roger Tam': 1, 'Alexander Rauscher': 1, 'Cornelia Laule': 1, 'Piotr Kozlowski': 1, 'Donna Lang': 1, 'Joel Oger': 1, 'Judy Illes': 1, 'Shannon Kolind': 1, 'Dean Foti': 1, 'Tony Traboulsee': 1, 'Charles Krieger': 1, 'Jon Stoessl': 1}"
59,Teresa Liu-Ambrose,6603112417,"{'Robin Hsiung': 1, 'Roger Tam': 1, 'Cornelia Laule': 1, 'Liisa Galea': 1, 'Lara Boyd': 1, 'Thalia Field': 1, 'Sherri Hayden': 1, 'Vesna Sossi': 1}"
60,Ian Mackenzie,16407421900,"{'Fidel Vila-Rodriguez': 1, 'Robin Hsiung': 1, 'Haakon Nygaard': 1, 'Joanne Matsubara': 1, 'Vesna Sossi': 1, 'Neil Cashman': 1, 'Cheryl Wellington': 1, 'Dean Foti': 1, 'Robert Stowe': 1, 'Charles Krieger': 1, 'Jon Stoessl': 1, 'Blair Leavitt': 1, 'Lynn Raymond': 1, 'Max Cynader': 1, 'Shernaz Bamji': 1, 'Noah Silverberg': 1}"
61,Brian MacVicar,7006717711,"{'Haakon Nygaard': 1, 'Silke Cresswell': 1, 'Terry Snutch': 1, 'Piotr Kozlowski': 1, 'Hakima Moukhles': 1, 'Tim Murphy': 1, 'Cheryl Wellington': 1, 'Kota Mizumoto': 1, 'Victor Viau': 1, 'Shernaz Bamji': 1, 'Max Cynader': 1, 'Blair Leavitt': 1, 'Anthony Phillips': 1, 'Julie Robillard': 1, 'William Panenka': 1}"
62,Manu Madhav,35146488900,{}
63,Joanne Matsubara,7006759777,"{'Ian Mackenzie': 1, 'Robin Hsiung': 1, 'Orson Moritz': 1, 'Max Cynader': 1}"
64,Benjamin Matthews,57203029860,{}
65,Martin McKeown,7005375626,"{'Miriam Spering': 1, 'Haakon Nygaard': 1, 'Vesna Sossi': 1, 'Jon Stoessl': 1, 'Silke Cresswell': 1, 'Shannon Kolind': 1, 'Lara Boyd': 1, 'Carles Vilarino-Guell': 1}"
66,Erin Michalak,7006410152,"{'Steven Barnes': 1, 'Trisha Chakrabarty': 1, 'Raymond Lam': 1, 'Lakshmi Yatham': 1, 'Jehannine Austin': 1}"
67,Freda Miller,7401771256,"{'Wolfram Tetzlaff': 1, 'Mahmoud Pouladi': 1, 'Shernaz Bamji': 1, 'Phil Barker': 1}"
68,Steven Miller,55476786100,"{'Ruth Grunau': 1, 'Thalia Field': 1, 'Daniel Goldowitz': 1, 'Naznin Virji-Babul': 1, 'Janet Werker': 1, 'Manon Ranger': 1, 'Todd Woodward': 1, 'Anthony Herdman': 1}"
69,Kota Mizumoto,15834999500,"{'Kurt Haas': 1, 'Paul Pavlidis': 1, 'Catharine Rankin': 1, 'Brian MacVicar': 1}"
70,Robert Molday,7005847836,"{'Orson Moritz': 1, 'Ann-Marie Craig': 1}"
71,Hakima Moukhles,6603648444,"{'Brian MacVicar': 1, 'Shernaz Bamji': 1}"
72,Orson Moritz,6701581292,"{'Robert Molday': 1, 'Joanne Matsubara': 1}"
73,Tim Murphy,7401632487,"{'Lynn Raymond': 1, 'Brian MacVicar': 1, 'Ann-Marie Craig': 1, 'Wolfram Tetzlaff': 1, 'Brett Hilton': 1, 'Judy Illes': 1, 'Mahmoud Pouladi': 1, 'Blair Leavitt': 1, 'Terry Snutch': 1, 'Steven Pelech': 1}"
74,Haakon Nygaard,26039391300,"{'Ian Mackenzie': 1, 'Robin Hsiung': 1, 'Brian MacVicar': 1, 'Martin McKeown': 1, 'Carles Vilarino-Guell': 1, 'Sherri Hayden': 1, 'Ann-Marie Craig': 1}"
75,Timothy O'Connor,7402142583,"{'Douglas Allan': 1, 'Shernaz Bamji': 1, 'Alasdair Barr': 1, 'Vanessa Auld': 1}"
76,Joel Oger,16936616300,"{'Helen Tremlett': 1, 'Shannon Kolind': 1, 'Roger Tam': 1, 'Ujendra Kumar': 1, 'David Li': 1, 'Cornelia Laule': 1, 'Piotr Kozlowski': 1, 'Tony Traboulsee': 1, 'Max Cynader': 1, 'Wolfram Tetzlaff': 1, 'Charles Krieger': 1, 'Dean Foti': 1}"
77,Ipek Oruc,23089215400,{}
78,Daniela Palombo,35732198900,"{'Noah Silverberg': 1, 'Rebecca Todd': 1}"
79,William Panenka,55305981100,"{'Noah Silverberg': 1, 'Cheryl Wellington': 1, 'Alasdair Barr': 1, 'Donna Lang': 1, 'Fidel Vila-Rodriguez': 1, 'Alexander Rauscher': 1, 'Thalia Field': 1, 'Naznin Virji-Babul': 1, 'Shelina Babul': 1, 'Mypinder Sekhon': 1, 'Peter Cripton': 1, 'Brian MacVicar': 1}"
